year_refit,model,trading_cost,n_months_gross,ann_ret_ls_gross,sharpe_ls_gross,tstat_ls_gross,tstat_nw_ls_gross,maxdd_ls_gross,n_months_net,ann_ret_ls_net,sharpe_ls_net,tstat_ls_net,tstat_nw_ls_net,maxdd_ls_net,avg_turnover_ls
2016,pred_en_M,0.006,12,0.275652799400316,3.07122906215849,3.07122906215849,8.24505376090697,-0.00573177916744892,12,0.265098857429384,2.98182638289923,2.98182638289923,8.13032878994895,-0.00634402406540806,0.736262264980969
2016,pred_xgb_M,0.006,12,0.192427820361696,3.04633347020068,3.04633347020068,5.57515675444016,-0.00348641342112258,12,0.187854833408412,2.96522183398244,2.96522183398244,5.42990703482636,-0.00415988280887744,1.18500091383007
2016,pred_xgb_H,0.006,12,0.179883407663008,2.98346730398622,2.98346730398622,5.39761416095847,-0.0163578225050505,12,0.175326567910218,2.91573544795508,2.91573544795508,5.15362136849382,-0.0171457012929292,0.976568936436388
2016,pred_en_H,0.006,12,0.168458886710552,2.58956082689641,2.58956082689641,5.67665429723794,-0.0109118630860607,12,0.160331065813231,2.49431173631091,2.49431173631091,5.49541906525321,-0.0115179236921212,0.691279068120011
2016,pred_rf_M,0.006,12,0.0819531445611574,1.61090712030784,1.61090712030784,3.38807397235482,-0.0182598609130613,12,0.0789341089646931,1.5603465683415,1.5603465683415,3.26687765507234,-0.0185322846153507,1.48990350591971
2016,pred_xgb_S,0.006,12,0.0825076124406392,1.45720955549303,1.45720955549303,2.06534214465689,-0.029355745659192,12,0.0839968897712464,1.46542769049652,1.46542769049652,2.08186133227442,-0.0300224123258585,0.77688334002767
2016,pred_ols3,0.006,12,0.0507190857296898,0.99081233175486,0.99081233175486,1.62312343144628,-0.026771971327336,12,0.0434274505953003,0.848894810381762,0.848894810381762,1.37458953837693,-0.0286345010196,0.439882023829005
2016,pred_rf_H,0.006,12,0.0267081696440281,0.641673415083408,0.641673415083408,0.888331556653187,-0.0286394175847113,12,0.0241902341824387,0.580393120017721,0.580393120017721,0.783772360034704,-0.0295441918215504,1.13462240045451
2016,pred_sofar_comp_main,0.006,12,-0.00815801497455126,-0.104642571981134,-0.104642571981134,-0.198480281871946,-0.0476741128041449,12,-0.00676949927401194,-0.0816716437036804,-0.0816716437036804,-0.154177270678392,-0.0475570746854819,0.464276682244282
2016,pred_sofar_comp_rob,0.006,12,-0.00815801497455126,-0.104642571981134,-0.104642571981134,-0.198480281871946,-0.0476741128041449,12,-0.00676949927401194,-0.0816716437036804,-0.0816716437036804,-0.154177270678392,-0.0475570746854819,0.464276682244282
