factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,137,0.000334999161222542,0.156715554507622,1,keep
sofar_f2_raw,sofar_f2_sc,137,-0.002103943242924,-0.862627392197574,-1,FLIP
sofar_f3_raw,sofar_f3_sc,137,0.00660373526226285,3.02335953221768,1,keep
sofar_f4_raw,sofar_f4_sc,137,-0.00154712316734743,-0.694509880562485,-1,FLIP
sofar_f5_raw,sofar_f5_sc,137,-0.000589805314380479,-0.360054200388296,-1,FLIP
sofar_f6_raw,sofar_f6_sc,137,0.00510453840816573,3.40461652525463,1,keep
sofar_f7_raw,sofar_f7_sc,137,-0.00557014608317436,-2.22128489055992,-1,FLIP
sofar_f8_raw,sofar_f8_sc,137,-0.00111038071004302,-0.521265411718276,-1,FLIP
sofar_f9_raw,sofar_f9_sc,137,0.000602838122407373,0.242617238870121,1,keep
sofar_f10_raw,sofar_f10_sc,137,0.00351925955180237,1.60231172409335,1,keep
sofar_f11_raw,sofar_f11_sc,137,-0.00722134557280188,-3.85847376301268,-1,FLIP
sofar_f12_raw,sofar_f12_sc,137,-0.0109561991486037,-3.09154874156116,-1,FLIP
