factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,161,-0.000171796905093454,-0.0752964175157679,-1,FLIP
sofar_f2_raw,sofar_f2_sc,161,-0.000571419455748515,-0.410297665134945,-1,FLIP
sofar_f3_raw,sofar_f3_sc,161,0.00031623942007835,0.168653147259236,1,keep
sofar_f4_raw,sofar_f4_sc,161,-0.000999725620487994,-0.722793525081425,-1,FLIP
sofar_f5_raw,sofar_f5_sc,161,5.16053227189389e-05,0.0248619962277198,1,keep
sofar_f6_raw,sofar_f6_sc,161,-0.000845251893366879,-0.417585591296801,-1,FLIP
sofar_f7_raw,sofar_f7_sc,161,0.00741133781153537,3.49378605134758,1,keep
sofar_f8_raw,sofar_f8_sc,161,-0.00700209733868023,-4.65751454475849,-1,FLIP
sofar_f9_raw,sofar_f9_sc,161,-0.00272598195004395,-2.30519108973572,-1,FLIP
sofar_f10_raw,sofar_f10_sc,161,-0.0021907302029038,-1.11191040885424,-1,FLIP
sofar_f11_raw,sofar_f11_sc,161,-0.00338280598132129,-2.32022021987585,-1,FLIP
sofar_f12_raw,sofar_f12_sc,161,-0.0103204405022073,-3.32273956743961,-1,FLIP
