factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,149,-0.0109204444357156,-3.31919840199784,-1,FLIP
sofar_f2_raw,sofar_f2_sc,149,0.00760004745061312,3.71226973231547,1,keep
sofar_f3_raw,sofar_f3_sc,149,-0.00297952911517971,-1.75278086304509,-1,FLIP
sofar_f4_raw,sofar_f4_sc,149,0.00601281804063525,2.9046473511506,1,keep
sofar_f5_raw,sofar_f5_sc,149,-0.000455848841816565,-0.293029860240688,-1,FLIP
sofar_f6_raw,sofar_f6_sc,149,-0.00879782926614671,-3.4014466916441,-1,FLIP
sofar_f7_raw,sofar_f7_sc,149,0.000602287501967856,0.256817669118422,1,keep
sofar_f8_raw,sofar_f8_sc,149,0.000267188136839011,0.15468081370832,1,keep
sofar_f9_raw,sofar_f9_sc,149,0.00174121737791882,0.901288663852749,1,keep
sofar_f10_raw,sofar_f10_sc,149,-0.00239256162967414,-1.16769733979361,-1,FLIP
sofar_f11_raw,sofar_f11_sc,149,-0.000498519952923183,-0.254298407654386,-1,FLIP
sofar_f12_raw,sofar_f12_sc,149,0.000873241522052321,0.557256054240227,1,keep
