F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,var
-0.524417999624754,0,0,0,0,0,0,0,0,0,0,0,A_roa
-0.524689202574598,0,0,0,0,0,0,0,0,0,0,0,A_roe
-0.256192638165258,0.193034924379831,0,0,0,0,0.273588519797798,0,-0.349632106504817,0.307330396911439,-0.355157901615083,0,A_gpm
0,0,0,0,0,-0.485640194037589,0,0.400360279296955,0,-0.236940746891293,0,0,A_opm
0,0,0,0,0,-0.4965300086812,0,0.408096920013841,0,-0.226493155217614,0,0,A_npm
0,-0.252112838204274,0,0,0,-0.342690117161148,0,-0.317076165120944,-0.390304766401642,0,0.183830439030747,0,B_rev_yoy
-0.535719950227397,0,0,0,0,0,0,0,0,0,0,0,B_eps
0,-0.21371879584613,0,0,0,-0.372777122033151,0,-0.380001084867137,-0.341012316344139,0,0,0,B_gp_yoy
0,0.223551942993273,0,0.408440139780693,0,-0.275410969762386,0,-0.332697604035279,0,0,0,0,B_op_yoy
0,0.325849799008676,0,0.501055734610219,0,-0.197841103933708,0,-0.301487562469334,0.29486904877522,0,0,0,B_np_yoy
0,0,0.217317494051943,-0.239267330109824,0,-0.193790533527054,0,0,0.30545683130311,0.359867033777851,0,0.182358219584148,C_ocf
0,0,-0.804917645176904,0,0.190277637972142,0,0,0,0,0,0,0.347365811211043,C_fcf
0,0,0,0,0,0,0.545944806878272,0,0,0,0.315843959774217,0,D_cr
0,0,0,0,0,0,0.566222137459448,0,0,0,0.256046202507222,0,D_qr
0,0,0.229280577965393,0,0,0,-0.449927066159118,0,0,0.20243566417017,0,-0.190522458240363,D_dr
0,-0.179396219601389,0,0,-0.925011730648494,0,0,-0.199118856254844,0,0,0,0,D_icr
0,0.572670295765733,0,-0.582149977853872,0,0,0,-0.30607279516063,0,-0.416895979125683,0,0,E_itr
0,0.556049731462891,0,0,-0.250930702446173,0,0,0.288597864037932,-0.403978018550195,0.277073737500542,0.478072695979042,0,E_art
-0.220987729722365,0,0,0,0,0,-0.282255087756021,0,0.223084417216428,-0.233319442867739,0.571446054865875,0,E_tat
0,0,0,0,0,0,0,0,0,0,0,0,F_ta
0,0,0,0,0,0,0,0,0,0,0,0,F_te
0,0,0,0,0,0,0,0,0,0,0,0,F_ca
0,0,0,0.23414410880368,0,0.206840815756808,0,0,-0.295506088594228,-0.425406353153035,0,0.288332894186237,G_cfi
0,0,-0.402005717162529,0,0,0,0,0,0,0,0,-0.817768012861331,G_cff
0,0,0,-0.223755373109026,0,0,0,0,0.241662454875951,0.335339815627925,0,0,G_ebt
