F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,var
-0.519829949594682,0,0,0,0,0,0,0,0,0,0,0,A_roa
-0.52028717171542,0,0,0,0,0,0,0,0,0,0,0,A_roe
-0.250504196478807,-0.276479048345346,-0.23930827277093,0,0,0,0,0.275266049750844,0,-0.257430181305673,-0.396505533911125,0,A_gpm
0,-0.17936834441069,-0.258634242602459,0,0,0,0.447545996235202,0,0.189030049553662,0,0.204634386170361,-0.178623707854127,A_opm
0,-0.205322385151336,-0.212327633947629,0,0,0,0.473748701955354,0,0.179423354292192,0,0.232207721850836,0,A_npm
0,0.32126035936944,0,-0.520316350072312,0,0,0.228780825140341,0,0,0,0,-0.21619209682059,B_rev_yoy
-0.519763910251558,0,0,0,0,0,0,0,0,0,0,0,B_eps
0,0.354491750083109,0,-0.421983346904288,0,0,0.28646856865565,0,0,0,0,-0.219445064222277,B_gp_yoy
0,0,0.288531063073622,0,0,0,0.340699449865905,0,-0.213748509944416,-0.306662885278305,0,0,B_op_yoy
0,0,0.4026666738724,0.271899821111558,0,0,0.311146001173824,0,-0.216985303393488,-0.342287079357204,0,0,B_np_yoy
0,0,0,0,-0.278703777785787,-0.467432042123701,0.210924760505328,0,0,0,0,0.202480548682188,C_ocf
0,0.209112734380093,-0.347203065220831,0.169232038408216,-0.562169444319008,0.558400581609905,0,0,0,0,-0.191230111050822,0,C_fcf
0,0,0,0,0,0,0,0.514972415728463,0,0.178769864355329,0.18267665087744,0,D_cr
0,0,0,0,-0.167213447121436,0,0,0.526634902478042,0,0,0.190767334499633,0,D_qr
0,0,0,-0.207825209566137,0,0,0,-0.462648458333711,0,0,0,0,D_dr
0,0.42302498953481,0.203165502299175,0,0,0,0,0.18978231865021,0.60891216715806,0.341350408833781,-0.441623530651867,0,D_icr
0,0,0.185546939801757,0.284732821196077,-0.313804675698864,0,0,0,-0.195624596242018,0,-0.277043176279593,-0.787270125615196,E_itr
0,-0.18010283192992,-0.192663069568355,0,0.198315501731106,0,0.194832677890395,0,-0.488159151360169,0.563111126614608,-0.454181995347252,0.215066238801633,E_art
-0.229932156390956,0.297186096616836,0.245513479679335,0,0,0,0,-0.265101172430431,-0.214642379393669,0.407666851972509,0.303256574459578,0,E_tat
0,0,0,0,0,0,0,0,0,0,0,0,F_ta
0,0,0,0,0,0,0,0,0,0,0,0,F_te
0,0,0,0,0,0,0,0,0,0,0,0,F_ca
0,0.279700270472131,-0.203418907715937,0.224474259478196,0.379018799360384,0,-0.246865643618619,0,0,0,0,0,G_cfi
0,-0.346130118125697,0.415828246261455,-0.391129465081898,0,0.551563921138761,0,0,0.173811292461249,0,0,0,G_cff
0,0,0,0,-0.391665355041956,-0.171923874978845,0,0,0,0,0,0.203349246108348,G_ebt
