step,mean_na_rate,sd_na_rate
1_raw_drop,0.134954958501273,0.0276264909550069
2_locf,0.0534957996446895,0.00943565396552815
3_cs_median,0.0367415171210194,0.00855915042961311
6_post_drop,0.0367415171210194,0.00855915042961311
7_fill0,0,0
