F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,var
0,0,0,0,0,0,0,0,0,0,0,-0.520470579939281,A_roa
0,0,0,0,0,0,0,0,0,0,0,-0.522132712092034,A_roe
0.346401535299774,0.223452904186734,-0.245506291761055,0,-0.220858320191712,0,0,0.329307912638141,0,0.167869240828643,-0.253853995746953,-0.251032257328365,A_gpm
0,-0.177410664116521,0.534064155601941,0,0,0,0,0,0,0,-0.273563858926518,0,A_opm
0,0,0.547704178743699,0,0,0,0,0,0,0,-0.287793425332463,0,A_npm
0,0,0,0,-0.42652312028209,0.184693318502357,0.179432289332133,0,0.210549999105625,0,0.385740368167398,0,B_rev_yoy
0,0,0,0,0,0,0,0,0,0,0,-0.525225716569743,B_eps
0,0,0.18971291743106,-0.171722477582916,-0.411809309168562,0.177261478201618,0,0.198084603538746,0.169251098785612,0,0.332567796893347,0,B_gp_yoy
-0.237536707221355,0,0,-0.309498587172778,0,0,-0.258076366717495,0.204516317342628,0,-0.340544648342591,0,0,B_op_yoy
-0.270568329216485,0,0,-0.349234644611289,0,-0.215247131532106,-0.345619832011001,0,0.16911806617785,-0.392499237150227,0,0,B_np_yoy
0,0,0,-0.205384271415841,0,-0.411975310243602,0.304998739186146,-0.178404580538219,0,0,0,0,C_ocf
0,0,0.197190815908687,0,0,-0.210850520007629,0,0.264354308439341,-0.759875044169412,-0.179544261038441,0.315369726674734,0,C_fcf
0,0.54504652904793,0,0,0,0,0,-0.22644430893015,0,0,0,0,D_cr
0,0.559300412276677,0.181533727067938,0,0,0,0,-0.203121825824257,0,0,0,0,D_qr
0,-0.44509797594563,0,0,0,0,0,0,0.214987010210258,0.183182072566707,0,0,D_dr
-0.643043413612402,0.219432595291839,0,0.5453035784001,-0.246453875300109,-0.179315382975073,0,0.255116966080357,0,0,-0.205172008598786,0,D_icr
-0.216691240375337,0,0.25434460390308,-0.331629392349145,0.480083535501124,0.181595518481562,0,0.3332464562159,0,0.62071569514854,0,0,E_itr
0.380758117846439,0,0,0.351885437275115,0.217167630866503,-0.488476551225066,0,0.384254785114247,0.383963376657391,0,0.290271557482517,0,E_art
-0.261766951104187,-0.172047549420099,0,0.202492729054103,0.285987199953606,0,0,-0.300528814689515,0,0,0.481503289618186,-0.231710344130785,E_tat
0,0,0,0,0,0,0,0,0,0,0,0,F_ta
0,0,0,0,0,0,0,0,0,0,0,0,F_te
0,0,0,0,0,0,0,0,0,0,0,0,F_ca
0,0,-0.187919556753614,0,0.228905613576036,0.374895995663593,0.175313893880807,0.307387087449191,0,-0.281988225542846,0,0,G_cfi
0,0,0,0,-0.27958370525356,0,-0.760150637627536,-0.203064600031995,0,0.227572619038014,0,0,G_cff
0,0,0,0,0,-0.367908347475357,0,0,-0.190586705457189,0,0,0,G_ebt
