factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,233,-0.00857711280721121,-3.40641384190855,-1,FLIP
sofar_f2_raw,sofar_f2_sc,233,-0.00324225268432016,-1.97211843444101,-1,FLIP
sofar_f3_raw,sofar_f3_sc,233,-0.000396722468428881,-0.27674315080983,-1,FLIP
sofar_f4_raw,sofar_f4_sc,233,-0.00114900584800557,-0.559758245984381,-1,FLIP
sofar_f5_raw,sofar_f5_sc,233,-0.00374806218293404,-1.99515022975348,-1,FLIP
sofar_f6_raw,sofar_f6_sc,233,0.000463443932391541,0.328478479059319,1,keep
sofar_f7_raw,sofar_f7_sc,233,0.000362859668382914,0.195186336530796,1,keep
sofar_f8_raw,sofar_f8_sc,233,0.00230058768492688,1.78623738073746,1,keep
sofar_f9_raw,sofar_f9_sc,233,-0.00319729070638914,-2.51677152845871,-1,FLIP
sofar_f10_raw,sofar_f10_sc,233,-0.000614141593320778,-0.447934702825934,-1,FLIP
sofar_f11_raw,sofar_f11_sc,233,0.00538824319452915,4.14182386680344,1,keep
sofar_f12_raw,sofar_f12_sc,233,0.0022771013012113,1.74355779778539,1,keep
