F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,var
0,0,0,0,0,0,0,0,0,0,0,-0.519107853589693,A_roa
0,0,0,0,0,0,0,0,0,0,0,-0.522132103845599,A_roe
0.24674122594576,0,0,0,0.175309927556027,0.400343476884177,0,0,0.185814095010009,-0.401711857176494,0,-0.254030963406032,A_gpm
0,0,0,-0.179372185688149,-0.206006358882815,0,0.556910391983648,0,0,0,0,0,A_opm
0,0,0,-0.170381833408502,-0.227826018285776,0,0.549236248392003,0,-0.201681644579335,0,0,0,A_npm
0,0,0,0.2499946567236,0.383458294525645,-0.169639235860815,0.271211840828428,0.363718678013433,0.21777490924947,0,0,0,B_rev_yoy
0,0,0,0,0,0,0,0,0,0,0,-0.52819110577132,B_eps
0,0,0,0.272602325290475,0.382514343647905,-0.196440056385512,0.302944395425776,0.224463410624079,0.235521729761666,0,0,0,B_gp_yoy
0,0,0,0,0.290216346224632,-0.235401883710504,0.181303821487345,-0.397007032935066,0,0,-0.243689799031654,0,B_op_yoy
0,0.170689503649121,0,0,0.24006629690782,-0.223347052044474,0,-0.527416289998064,-0.202104167302448,0,-0.302614475594185,0,B_np_yoy
0,0.183735350953382,0.422689739865815,0,-0.278227470227793,-0.175683500091825,0,0,0.17710460135323,0,0,0,C_ocf
0,-0.669859822515617,-0.226805303071177,0.38713532642917,-0.300533346917278,0,0,-0.319468064892975,0,0,0,0,C_fcf
0.541378979761507,0,0,0,0,0,0,0,-0.202360824281814,0,0,0,D_cr
0.556324998054356,0,0,0,0,0,0,0,-0.183769404324701,0,0,0,D_qr
-0.445009299817446,0,0,0,0,0,0,0,0,-0.211868886422363,0,0,D_dr
0.230579243261393,-0.204488137916532,0,-0.624892396527983,0,-0.352709744072309,0,0,0.559328541014307,0,-0.231317083938643,0,D_icr
0,0.294128085825038,-0.317721198962266,0,0,-0.443374521754332,0,0,0,-0.369861971461656,0.633780372021863,0,E_itr
0,-0.511050340353542,0.521573071034735,-0.280766660808335,0.286607063711776,0,0,0,-0.349770271131136,-0.239153778673832,0.226355363594085,0,E_art
-0.249170149635613,0,0,0,0,-0.420765853892023,-0.240947019466206,0.252031841411919,-0.245506231534927,0.327702184246764,0,-0.22197335749192,E_tat
0,0,0,0,0,0,0,0,0,0,0,0,F_ta
0,0,0,0,0,0,0,0,0,0,0,0,F_te
0,0,0,0,0,0,0,0,0,0,0,0,F_ca
0,0,-0.196000824269205,0,0.289020567951487,0.205374710532751,0,-0.179030081605461,0,0.381786502552895,0.250222489751198,0,G_cfi
0,0,-0.412415303881212,0,0,0,0,0.253714153885859,-0.293375563104469,-0.495559270500172,-0.488292716155452,0,G_cff
0,0,0.216435601062218,0.228193185277462,-0.307089584709163,0,0,0,0,0,0,0,G_ebt
