factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,209,-0.00762433778989457,-2.7716058759123,-1,FLIP
sofar_f2_raw,sofar_f2_sc,209,-0.00278512806879747,-1.62187727063126,-1,FLIP
sofar_f3_raw,sofar_f3_sc,209,-0.00688558051685754,-4.18721839184084,-1,FLIP
sofar_f4_raw,sofar_f4_sc,209,0.000743982964931505,0.452786643182188,1,keep
sofar_f5_raw,sofar_f5_sc,209,-0.00192310247277821,-1.15153097871483,-1,FLIP
sofar_f6_raw,sofar_f6_sc,209,0.00188721649456809,1.20871712473731,1,keep
sofar_f7_raw,sofar_f7_sc,209,-0.00128032726561736,-0.676065668461496,-1,FLIP
sofar_f8_raw,sofar_f8_sc,209,0.00164849662243215,1.14053448261682,1,keep
sofar_f9_raw,sofar_f9_sc,209,-0.0024672011976391,-1.04267852592108,-1,FLIP
sofar_f10_raw,sofar_f10_sc,209,0.00669528204844942,3.39211688739883,1,keep
sofar_f11_raw,sofar_f11_sc,209,0.000892267618317449,0.624945455518268,1,keep
sofar_f12_raw,sofar_f12_sc,209,0.004689962876127,3.18626591399609,1,keep
