factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,221,0.00217937513463323,1.21798330758464,1,keep
sofar_f2_raw,sofar_f2_sc,221,-0.00138266528367334,-0.855241260641116,-1,FLIP
sofar_f3_raw,sofar_f3_sc,221,0.000455921740293685,0.317442259183922,1,keep
sofar_f4_raw,sofar_f4_sc,221,-0.00359653546754694,-2.61203321003803,-1,FLIP
sofar_f5_raw,sofar_f5_sc,221,0.000327584101058847,0.206537233192003,1,keep
sofar_f6_raw,sofar_f6_sc,221,-0.00791866749828602,-3.02806976040396,-1,FLIP
sofar_f7_raw,sofar_f7_sc,221,-0.000392002420025078,-0.324458164313377,-1,FLIP
sofar_f8_raw,sofar_f8_sc,221,0.00334294938956546,2.05595735877375,1,keep
sofar_f9_raw,sofar_f9_sc,221,-0.00600097678472145,-3.86059441379491,-1,FLIP
sofar_f10_raw,sofar_f10_sc,221,0.00261340587689616,1.57336558093291,1,keep
sofar_f11_raw,sofar_f11_sc,221,0.000817699392374902,0.540056718106254,1,keep
sofar_f12_raw,sofar_f12_sc,221,-0.00674948842447456,-3.71422129899586,-1,FLIP
