factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,173,-0.00555989308202434,-3.93643054909139,-1,FLIP
sofar_f2_raw,sofar_f2_sc,173,0.00612929605401199,2.88352834079187,1,keep
sofar_f3_raw,sofar_f3_sc,173,-0.00479911687808212,-2.80055504911632,-1,FLIP
sofar_f4_raw,sofar_f4_sc,173,-0.00019858456457265,-0.0970941989325688,-1,FLIP
sofar_f5_raw,sofar_f5_sc,173,0.00227595780534596,1.39772786436686,1,keep
sofar_f6_raw,sofar_f6_sc,173,0.00285685551254135,2.19043724818352,1,keep
sofar_f7_raw,sofar_f7_sc,173,-0.000877028540639502,-0.400186023902701,-1,FLIP
sofar_f8_raw,sofar_f8_sc,173,-0.00537183213721999,-4.1039263229567,-1,FLIP
sofar_f9_raw,sofar_f9_sc,173,0.00231410536684187,1.15572806918729,1,keep
sofar_f10_raw,sofar_f10_sc,173,-0.0012182242727206,-0.884384746285463,-1,FLIP
sofar_f11_raw,sofar_f11_sc,173,-0.0101097902988137,-3.47924564650508,-1,FLIP
sofar_f12_raw,sofar_f12_sc,173,-0.0023987831313963,-1.10198959576647,-1,FLIP
