F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,var
-0.522596522276287,0,0,0,0,0,0,0,0,0,0,0,A_roa
-0.519804971539126,0,0,0,0,0,0,0,0,0,0,0,A_roe
-0.255124816747137,0.36702538132101,0,0,0.408415277319965,0,0,0,0,0,0.31029344148721,0,A_gpm
0,0,-0.20030467101405,0,-0.303466076741146,0,0,-0.217288726463117,0,0,0.405259177560242,-0.275977119808582,A_opm
0,0,-0.212674218155603,0,-0.322713055982734,0,0,-0.212788243678669,0,0,0.404951728999268,-0.254411514550882,A_npm
0,0,-0.340762272985186,0,0.209367879523213,0,0,0.330331318535426,0,-0.354841681730963,0,-0.212853869989962,B_rev_yoy
-0.51145940173305,0,0,0,0,0,0,0,0,0,0,0,B_eps
0,0,-0.278890827487941,0.177763941468949,0,0,0.202698470773715,0.373970033577658,0,-0.325515362108389,0,-0.188705887200183,B_gp_yoy
0,-0.260238886109927,0,0,0,0,0.196306029668081,0.265229914288684,-0.195216458223993,0,0.29322897635288,0.307087527480535,B_op_yoy
0,-0.321391696555063,0.169872959887668,0,0,0,0,0.214953686442028,-0.264947430602849,0,0.300406562750771,0.405527640115813,B_np_yoy
0,0,0,0,0,0,-0.403757809114892,0.263261653579507,-0.310624859465046,0,0,0,C_ocf
0,0,0.415509865577305,0,-0.510516914825338,-0.271566398352463,0,0.201081157051273,0.405756694386395,-0.413655515033607,0,0,C_fcf
0,0,-0.275976463500893,0.288568884400982,0,-0.398061155275776,0,0,0,0,0,0,D_cr
0,0.195256682589869,-0.210973357830658,0.32540785602972,0,-0.395965600083827,0,0,0,0,0,0,D_qr
0,-0.349227886987832,0,-0.375419566027493,0,0,0,0,0,0,0,0,D_dr
0,0.262652210468479,-0.291307490723549,0,-0.178310806213362,0.390801463049513,0,0.237717296603822,0.452542611698606,0.334510884894248,0,0.521756968833779,D_icr
0,-0.283009639201477,0.223800233949715,0.592863106849171,0.271704030375191,0.180023900666173,-0.515751514218945,0,0.266193968010757,0.19061941027185,0,-0.170810876269609,E_itr
0,-0.208083472284849,-0.371947569590126,0,0,0,-0.361839348407637,-0.41417105549827,0,-0.522485512197684,0,0.410841919546669,E_art
-0.232291019527709,-0.381517163260426,0,0,-0.270137329506232,0,0,0,0,0,-0.523647662094125,0,E_tat
0,0,0,0,0,0,0,0,0,0,0,0,F_ta
0,0,0,0,0,0,0,0,0,0,0,0,F_te
0,0,0,0,0,0,0,0,0,0,0,0,F_ca
0,0,0.194875561692573,0.261338649422434,0,0.299195944787769,0.292866226846192,-0.290680667830142,0,-0.173404649584194,0,0,G_cfi
0,-0.343611542707221,0,-0.173023780211663,0.179982304969517,-0.441530584319875,0.247612661748035,0,0.525025777524884,0.231234620143772,0,0,G_cff
0,0,0,-0.183715274635902,-0.178225105364238,0,-0.304710775803482,0.307329765695275,0,0,0,0,G_ebt
