variable,Mom1M,Mom6M,Mom12M,波動度,流動性,規模,帳面市值比
Mom1M,1,0.0292405755763911,0.0129973453335288,0.138220938471746,0.190080271995251,0.015502586442004,-0.120149586535978
Mom6M,0.0292405755763911,1,0.669351577025657,0.317440196181713,0.219299968431425,0.0397059224571395,-0.240347967994121
Mom12M,0.0129973453335288,0.669351577025657,1,0.41490116842437,0.24951506194124,0.0579698501990218,-0.304217998762161
波動度,0.138220938471746,0.317440196181713,0.41490116842437,1,0.248454439061827,-0.170006304993457,-0.204709846559172
流動性,0.190080271995251,0.219299968431425,0.24951506194124,0.248454439061827,1,0.691817195950562,-0.325027925534085
規模,0.015502586442004,0.0397059224571395,0.0579698501990218,-0.170006304993457,0.691817195950562,1,-0.177377169479615
帳面市值比,-0.120149586535978,-0.240347967994121,-0.304217998762161,-0.204709846559172,-0.325027925534085,-0.177377169479615,1
