year_refit,model,ann_ret_ls_gross,sharpe_ls_gross,ann_ret_ls_net,sharpe_ls_net,tstat_nw_ls_net,maxdd_ls_net
2016,pred_xgb_PCA_S,0.0640402286747277,0.973805329240613,0.064122404775437,0.976395925196268,1.29362496013597,-0.0471013524417929
2016,pred_xgb_PCA_H,0.0984156608457458,1.82339481405019,0.0936707619320116,1.73045016719632,3.33785056941459,-0.0162295689951693
2017,pred_xgb_PCA_S,0.135694097506747,1.91659135639843,0.135885955004265,1.92020802679223,3.73922611461965,-0.00592224582640003
2017,pred_xgb_PCA_H,0.0368016577669563,0.604676814300103,0.0355676245973098,0.587914719693582,1.09128899096529,-0.0362833241314573
2018,pred_xgb_PCA_S,0.0386173814181285,0.599597644664727,0.0388325166164309,0.597732840247296,1.04951343590046,-0.0472798864229398
2018,pred_xgb_PCA_H,0.184872812532334,1.92926066205041,0.181552329039379,1.90609771985636,3.18608394531978,-0.0482924847524753
2019,pred_xgb_PCA_S,0.128253101149832,2.9532789218762,0.128739357027879,2.9317108090265,6.38309473151242,-0.00774126647675835
2019,pred_xgb_PCA_H,0.135907583940805,1.72929791282199,0.132734764700475,1.69422704129011,2.56797760304567,-0.0231956295286816
2020,pred_xgb_PCA_S,-0.0407535163404821,-0.408841781460015,-0.0417128292082972,-0.416088287973824,-0.98067445163191,-0.0903042294882533
2020,pred_xgb_PCA_H,0.0115103360037294,0.146774003126845,0.00739544376571888,0.116080099136342,0.254254966422491,-0.104222077128458
2021,pred_xgb_PCA_S,0.0651179909747393,0.716528286322304,0.0683862114734524,0.74670246778223,1.0986841672823,-0.0392170154822564
2021,pred_xgb_PCA_H,0.220045605858274,1.46880316585176,0.216466269362695,1.44144244625638,2.09872873937459,-0.0568038214295777
2022,pred_xgb_PCA_S,0.00442566555105617,0.114142913185363,0.00599427364328609,0.146353478370588,0.320242563320519,-0.0247561280315493
2022,pred_xgb_PCA_H,0.156467329434891,1.06024748785463,0.155716792874294,1.06377139098174,1.19901064694745,-0.0863914032418978
2023,pred_xgb_PCA_S,0.0963202770231366,1.37609235180413,0.0964751826155192,1.37665987337045,1.05105580863845,-0.0377316905244469
2023,pred_xgb_PCA_H,0.115158983223244,1.61559953383465,0.113996724813576,1.6080516502521,1.61323523891565,-0.0404819961835777
2024,pred_xgb_PCA_S,0.083336062545432,1.45930058650733,0.0799215028805207,1.40060829503943,1.85951405979575,-0.0376171420508395
2024,pred_xgb_PCA_H,0.167634985268563,2.34026993274853,0.165320832880231,2.3155741351357,3.46343797945915,-0.028684239936392
2025,pred_xgb_PCA_S,0.020256852780552,0.35249498877753,0.018503047235036,0.325054900251687,0.368972588137684,-0.0349845975132867
2025,pred_xgb_PCA_H,-0.0825344561127194,-0.821273062137671,-0.0826804166542809,-0.822933308323629,-1.03359334869395,-0.123958008386504
